Epoch 001: train_loss=0.5425, val_loss=0.5047, val_dice=0.7587
Epoch 002: train_loss=0.3427, val_loss=0.4246, val_dice=0.8060
Epoch 003: train_loss=0.2634, val_loss=0.3911, val_dice=0.8212
Epoch 004: train_loss=0.2306, val_loss=0.3909, val_dice=0.8152
Epoch 005: train_loss=0.2130, val_loss=0.3803, val_dice=0.8194
Epoch 006: train_loss=0.1688, val_loss=0.3873, val_dice=0.8371
Epoch 007: train_loss=0.1400, val_loss=0.3626, val_dice=0.8388
Epoch 008: train_loss=0.1120, val_loss=0.3591, val_dice=0.8403
Epoch 009: train_loss=0.1274, val_loss=0.5313, val_dice=0.7702
Epoch 010: train_loss=0.1632, val_loss=0.3922, val_dice=0.8314
Epoch 011: train_loss=0.1604, val_loss=0.4958, val_dice=0.7914
Epoch 012: train_loss=0.1148, val_loss=0.3814, val_dice=0.8460
Epoch 013: train_loss=0.0956, val_loss=0.3148, val_dice=0.8629
Epoch 014: train_loss=0.1103, val_loss=0.4435, val_dice=0.8160
Epoch 015: train_loss=0.1537, val_loss=0.4392, val_dice=0.8143
Epoch 016: train_loss=0.1417, val_loss=0.3926, val_dice=0.8239
Epoch 017: train_loss=0.0966, val_loss=0.3418, val_dice=0.8559
Epoch 018: train_loss=0.0761, val_loss=0.3279, val_dice=0.8565
Epoch 019: train_loss=0.0722, val_loss=0.3685, val_dice=0.8460
Epoch 020: train_loss=0.0703, val_loss=0.3527, val_dice=0.8559
Epoch 021: train_loss=0.0622, val_loss=0.3810, val_dice=0.8544
Epoch 022: train_loss=0.1165, val_loss=0.4297, val_dice=0.8065
Epoch 023: train_loss=0.1494, val_loss=0.3617, val_dice=0.8471
Epoch 024: train_loss=0.1173, val_loss=0.3922, val_dice=0.8144
Epoch 025: train_loss=0.0927, val_loss=0.4030, val_dice=0.8452
Epoch 026: train_loss=0.0744, val_loss=0.3703, val_dice=0.8520
Epoch 027: train_loss=0.0636, val_loss=0.3813, val_dice=0.8501
Epoch 028: train_loss=0.0591, val_loss=0.3510, val_dice=0.8595
Epoch 029: train_loss=0.0586, val_loss=0.5504, val_dice=0.7822
Epoch 030: train_loss=0.0683, val_loss=0.4499, val_dice=0.8356
Epoch 031: train_loss=0.0823, val_loss=0.5658, val_dice=0.7718
Epoch 032: train_loss=0.1602, val_loss=0.4554, val_dice=0.8099
Epoch 033: train_loss=0.0901, val_loss=0.3805, val_dice=0.8482
Epoch 034: train_loss=0.0656, val_loss=0.3691, val_dice=0.8534
Epoch 035: train_loss=0.0577, val_loss=0.3691, val_dice=0.8591
Epoch 036: train_loss=0.0544, val_loss=0.3763, val_dice=0.8581
Epoch 037: train_loss=0.0521, val_loss=0.3821, val_dice=0.8554
Epoch 038: train_loss=0.0515, val_loss=0.3666, val_dice=0.8619
Epoch 039: train_loss=0.0507, val_loss=0.3944, val_dice=0.8592
Epoch 040: train_loss=0.0507, val_loss=0.3918, val_dice=0.8578
Epoch 041: train_loss=0.0510, val_loss=0.3739, val_dice=0.8616
Epoch 042: train_loss=0.0511, val_loss=0.4215, val_dice=0.8520
Epoch 043: train_loss=0.0506, val_loss=0.4042, val_dice=0.8581
Epoch 044: train_loss=0.0499, val_loss=0.4109, val_dice=0.8640
Epoch 045: train_loss=0.2095, val_loss=0.5378, val_dice=0.7829
Epoch 046: train_loss=0.0824, val_loss=0.3656, val_dice=0.8381
Epoch 047: train_loss=0.0684, val_loss=0.4629, val_dice=0.8045
Epoch 048: train_loss=0.0660, val_loss=0.4400, val_dice=0.8268
Epoch 049: train_loss=0.0534, val_loss=0.3940, val_dice=0.8459
Epoch 050: train_loss=0.0496, val_loss=0.3883, val_dice=0.8535
